employee_id,age,gender,department,job_role,years_experience,shift,accident_date,accident_type,severity,lost_days,ppe_used,training_completed,fatigue_level,root_cause,city,overtime_hours
1271,60,FEMALE,Operations,Operator,19.5,day,2023-04-13,Cut,Moderate,2,Yes,Yes,8.0,Fatigue,Bogotá,11.0
1131,39,FEMALE,Quality,Operator,1.4,day,2024-10-25,Ergonomic,Moderate,8,Yes,Yes,3.0,Human Error,Barranquilla,8.6
1055,20,MALE,Production,Operator,21.5,day,2025-05-25,Fall,Moderate,6,No,Unknown,10.0,Fatigue,Bogotá,11.8
1053,19,MALE,Warehouse,Operator,17.1,night,2025-02-15,Slip,Minor,7,Yes,No,4.0,Human Error,Cali,3.5
1002,23,FEMALE,Production,Coordinator,5.2,day,2024-07-15,Fall,Moderate,0,No,Yes,8.0,Fatigue,Cali,3.6
1215,57,MALE,Logistics,Technician,21.1,night,2024-04-06,Cut,Moderate,22,No,Yes,9.0,Lack of Training,Barranquilla,20.6
1015,18,FEMALE,Operations,Supervisor,0.4,day,2023-06-06,Chemical Exposure,Minor,0,Yes,Yes,8.0,PPE Non-Compliance,Barranquilla,5.6
1289,22,FEMALE,Production,Coordinator,23.2,day,2024-11-05,Struck By Object,Moderate,2,Yes,Yes,5.0,Lack of Training,Cartagena,11.1
1172,57,MALE,Quality,Coordinator,6.9,day,2023-04-09,Chemical Exposure,Moderate,9,No,Yes,7.0,Fatigue,Barranquilla,11.4
1283,26,MALE,Quality,Technician,17.8,day,2025-02-05,Fall,Minor,0,No,Yes,4.0,Fatigue,Barranquilla,9.8
1231,32,FEMALE,Logistics,Analyst,18.9,day,2025-01-03,Cut,Minor,6,Yes,No,9.0,Fatigue,Medellín,8.6
1284,45,MALE,Maintenance,Supervisor,5.5,day,2024-10-07,Ergonomic,Minor,5,Yes,Yes,1.0,Lack of Training,Cartagena,18.0
1283,30,FEMALE,Maintenance,Coordinator,21.5,day,2024-01-20,Slip,Minor,0,Yes,Yes,8.0,Fatigue,Cali,14.8
1160,49,FEMALE,Logistics,Coordinator,14.0,night,2025-04-06,Ergonomic,Minor,7,Yes,Yes,3.0,PPE Non-Compliance,Barranquilla,11.8
1101,34,FEMALE,Operations,Supervisor,6.7,night,2023-04-23,Cut,Severe,5,Yes,Yes,2.0,Lack of Training,Bogotá,11.3
1172,43,MALE,Quality,Supervisor,24.6,night,2023-02-22,Ergonomic,Minor,14,Yes,Yes,8.0,Unsafe Condition,Cali,18.0
1098,23,FEMALE,Production,Technician,10.0,day,2025-04-16,Slip,Moderate,5,Yes,Yes,3.0,Fatigue,Cartagena,15.0
1252,53,MALE,Logistics,Coordinator,0.4,night,2024-10-21,Chemical Exposure,Minor,11,Yes,Yes,7.0,Unsafe Condition,Medellín,2.2
1129,28,FEMALE,Maintenance,Coordinator,8.5,night,2023-12-04,Fall,Minor,12,No,Yes,1.0,Lack of Training,Barranquilla,2.2
1254,29,FEMALE,Quality,Technician,14.0,day,2023-01-02,Struck By Object,Severe,4,Yes,No,4.0,Human Error,Barranquilla,12.3
1054,50,FEMALE,Production,Coordinator,16.1,night,2023-06-01,Chemical Exposure,Minor,9,Yes,Yes,2.0,PPE Non-Compliance,Cartagena,6.3
1163,33,MALE,Quality,Operator,24.9,day,2024-12-06,Chemical Exposure,Minor,7,Yes,Yes,8.0,PPE Non-Compliance,Medellín,8.9
1195,34,MALE,Logistics,Analyst,7.7,night,2023-05-15,Struck By Object,Minor,21,Yes,Yes,6.0,Lack of Training,Medellín,12.3
1051,120,MALE,Maintenance,Coordinator,15.8,day,2023-12-31,Ergonomic,Moderate,24,Yes,Yes,6.0,PPE Non-Compliance,Cartagena,12.8
1035,34,MALE,Maintenance,Technician,24.9,day,2024-05-30,Slip,Minor,11,Yes,No,1.0,Human Error,Cartagena,9.2
1181,48,MALE,Warehouse,Supervisor,24.1,night,2023-10-29,Fall,Severe,2,No,Yes,2.0,Lack of Training,Medellín,0.0
1223,20,MALE,Maintenance,Operator,14.3,night,2025-03-03,Chemical Exposure,Minor,8,No,Yes,1.0,Lack of Training,Barranquilla,12.3
1299,56,FEMALE,Production,Operator,7.3,night,2024-01-28,Slip,Moderate,9,No,Yes,9.0,Fatigue,Cali,14.1
1173,37,MALE,Maintenance,Supervisor,16.2,night,2023-02-05,Chemical Exposure,Moderate,9,Yes,Yes,2.0,Unsafe Condition,Bogotá,13.4
1215,39,MALE,Quality,Technician,8.2,day,2025-03-10,Cut,Minor,5,Yes,Yes,5.0,Unsafe Condition,Medellín,12.3
1053,22,FEMALE,Warehouse,Analyst,11.4,day,2023-09-21,Slip,Moderate,5,Yes,Yes,2.0,Fatigue,Barranquilla,1.7
1106,47,MALE,Operations,Coordinator,1.0,night,2024-09-27,Slip,Minor,17,Yes,Yes,7.0,Human Error,Bogotá,8.5
1129,18,MALE,Operations,Operator,11.1,night,2023-05-07,Fall,Minor,9,Yes,Yes,5.0,Lack of Training,Medellín,16.6
1247,20,MALE,Warehouse,Technician,6.2,day,2025-02-28,Ergonomic,Minor,6,Yes,Yes,6.0,Unsafe Condition,Bogotá,27.0
1289,47,MALE,Maintenance,Coordinator,16.2,night,2024-09-03,Struck By Object,Minor,8,Yes,Yes,8.0,Fatigue,Cali,18.0
1247,19,FEMALE,Maintenance,Operator,0.7,day,2023-12-02,Ergonomic,Moderate,8,Yes,Yes,1.0,Unsafe Condition,Medellín,17.3
